time,readable_time,acceleration,acceleration_x,acceleration_y,acceleration_z,battery,humidity,pressure,temperature,dev-id
1540080018884,2018-10-21T00:00:18.884000Z,1053.0740714688593,223,-410,944,2959,30,1021.03,27.42,EE:B4:42:EE:C1:16
1540080024083,2018-10-21T00:00:24.082999Z,1051.1070354630874,216,-411,943,2959,30,1021.03,27.41,EE:B4:42:EE:C1:16
1540080029131,2018-10-21T00:00:29.131000Z,1048.4073635758193,217,-415,938,2959,30,1021.04,27.41,EE:B4:42:EE:C1:16
1540080034173,2018-10-21T00:00:34.173000Z,1050.0095237663322,218,-414,940,2959,30,1021.03,27.41,EE:B4:42:EE:C1:16
1540080039313,2018-10-21T00:00:39.312999Z,1052.7872529623446,216,-413,944,2965,30,1021.03,27.41,EE:B4:42:EE:C1:16
1540080044383,2018-10-21T00:00:44.382999Z,1052.9240238497744,218,-410,945,2953,30,1021.03,27.41,EE:B4:42:EE:C1:16
1540080049323,2018-10-21T00:00:49.322999Z,1051.4314052756843,220,-412,942,2953,30,1021.03,27.41,EE:B4:42:EE:C1:16
1540080054549,2018-10-21T00:00:54.549000Z,1055.087200187738,216,-412,947,2959,30,1021.03,27.41,EE:B4:42:EE:C1:16
1540080059533,2018-10-21T00:00:59.532999Z,1051.29348899344,215,-412,943,2959,30,1021.03,27.41,EE:B4:42:EE:C1:16
1540080064823,2018-10-21T00:01:04.822999Z,1052.3031882494702,218,-413,943,2959,30,1021.03,27.41,EE:B4:42:EE:C1:16
1540080070072,2018-10-21T00:01:10.072000Z,1054.580959433651,216,-413,946,2965,30,1021.02,27.41,EE:B4:42:EE:C1:16
1540080074983,2018-10-21T00:01:14.983000Z,1051.38765448335,216,-414,942,2953,30,1021.02,27.41,EE:B4:42:EE:C1:16
1540080080273,2018-10-21T00:01:20.273000Z,1053.292457012771,216,-412,945,2959,30,1021.02,27.41,EE:B4:42:EE:C1:16
1540080085203,2018-10-21T00:01:25.203000Z,1053.1994113177238,218,-413,944,2953,30,1021.02,27.41,EE:B4:42:EE:C1:16
1540080090273,2018-10-21T00:01:30.273000Z,1051.29348899344,215,-412,943,2971,30,1021.02,27.41,EE:B4:42:EE:C1:16
1540080095163,2018-10-21T00:01:35.163000Z,1053.1994113177238,218,-413,944,2947,30,1021.01,27.41,EE:B4:42:EE:C1:16
1540080100119,2018-10-21T00:01:40.118999Z,1054.7862342673989,217,-413,946,2959,30,1021.01,27.41,EE:B4:42:EE:C1:16
1540080105160,2018-10-21T00:01:45.160000Z,1053.9677414418336,216,-416,944,2959,30,1021.02,27.41,EE:B4:42:EE:C1:16
1540080110273,2018-10-21T00:01:50.273000Z,1055.7807537552483,215,-412,948,2953,30,1021.01,27.41,EE:B4:42:EE:C1:16
1540080115483,2018-10-21T00:01:55.483000Z,1057.2729070585324,216,-413,949,2959,30,1021.01,27.41,EE:B4:42:EE:C1:16
1540080120719,2018-10-21T00:02:00.719000Z,1054.5866488819208,219,-416,944,2959,30,1021.02,27.41,EE:B4:42:EE:C1:16
